,0,1,2,0,1,2
scope,scope_1,scope_2,scope_3,scope_1,scope_2,scope_3
imputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
feature_selector,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
stats.optimise.time,55.00222039222717,58.29358124732971,42.54555583000183,59.42634916305542,54.29265737533569,36.58303236961365
stats.optimise.num_datapoints,3187,3127,2006,3187,3127,2006
stats.fit.time,13.002222776412964,12.942503929138184,9.287445783615112,12.566000699996948,13.29757833480835,8.24897313117981
stats.fit.num_datapoints,3187,3127,2006,3187,3127,2006
stats.fit_confidence.time,13.064302444458008,12.089524507522583,9.40281891822815,13.442173480987549,9.616135835647583,7.158945322036743
stats.fit_confidence.num_datapoints,3187,3127,2006,3187,3127,2006
raw.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
raw.sMAPE,1.1955757268261593,1.0203663413815105,1.3178503728289157,1.192527894743001,1.042199911860345,1.3707520320888134
raw.R2,0.04518721646286772,-0.18831308812451053,0.007903850486565278,0.15983200378821616,0.08010701757775385,0.03915919683280267
raw.MAE,65903.68909615421,74870.77754177485,369480.2263691042,58403.8722253406,79093.06634626753,340549.59329818474
raw.RMSE,19377093.412999228,2508185.650302522,93092117.43312894,17590581.834002674,1867356.0129092888,83986524.79186921
raw.MAPE,5981.72738020465,250.73051102253805,150.8059886826612,3251.6087602878974,82.35307143476956,170.5839835081916
raw.offset_percentile.50%,4.8847185612225745,3.0905075496418406,7.947028023113493,4.565520308399749,3.0995668834322894,8.531380290093727
raw.offset_percentile.75%,16.033209279750537,7.866375304782971,28.80333369588307,16.097662441375935,9.022481561248238,43.184593353918345
raw.offset_percentile.90%,58.45597781363186,22.51682791524138,116.98292555405472,75.93746929782915,29.5060520198459,217.10362499255228
raw.offset_percentile.95%,181.7375161676692,55.859326170690316,502.0235936777847,260.37956752322884,97.0138414842118,392.08999760409654
raw.confidence_rating.<10.0%,38,61,18,36,37,14
raw.confidence_rating.10-20%,38,35,12,33,44,21
raw.confidence_rating.20-50%,80,94,51,75,96,36
raw.confidence_rating.50-100%,86,133,47,98,135,47
raw.confidence_rating.100-200%,133,159,72,145,170,55
raw.confidence_rating.>200.0%,622,496,427,610,496,454
raw.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0
raw.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0
raw.confidence_rating_detailed.0.cnt,38,61,18,36,37,14
raw.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0
raw.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0
raw.confidence_rating_detailed.1.cnt,38,35,12,33,44,21
raw.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0
raw.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0
raw.confidence_rating_detailed.2.cnt,80,94,51,75,96,36
raw.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0
raw.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0
raw.confidence_rating_detailed.3.cnt,86,133,47,98,135,47
raw.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0
raw.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0
raw.confidence_rating_detailed.4.cnt,133,159,72,145,170,55
raw.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0
raw.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf
raw.confidence_rating_detailed.5.cnt,622,496,427,610,496,454
test.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
test.sMAPE,0.20187214821076627,0.14395666945055613,0.20689220003680425,0.1998810353673946,0.15211413080954525,0.21460361763324143
test.R2,0.43179033116203125,0.32972723734337517,0.3583666783234608,0.37880026211167617,0.2548769903547604,0.22357100428553767
test.MAE,1.5860925539551687,1.1283296734384356,2.0727889322870485,1.5184976697261874,1.131239004247302,2.143654901346755
test.RMSE,2.610022076369205,2.00452183266846,3.0324032034589257,2.6695276601772226,2.1644379660859463,3.1726659717700736
test.MAPE,0.5883737113353779,0.17640405888935975,0.24915019640403718,0.28741824275906386,0.1915084888775348,0.24877362838481157
test.offset_percentile.50%,1.150297979844123,1.1032636735554144,1.176835550833768,1.1412619308258203,1.099796526698898,1.1919493548772058
test.offset_percentile.75%,1.2950659436368848,1.1937414028667186,1.3178143458835558,1.2826875792871653,1.2140613782096707,1.3558946772134708
test.offset_percentile.90%,1.5285152327782932,1.3571536118932517,1.5792138640662288,1.5590056341000347,1.3846208169019378,1.5275483305293178
test.offset_percentile.95%,1.9050433521650403,1.5862001521353983,1.847017001125905,1.8996695073881391,1.6042933103881052,1.7764839793974228
test.confidence_rating.<10.0%,374,483,211,383,491,182
test.confidence_rating.10-20%,226,264,135,246,212,148
test.confidence_rating.20-50%,287,168,205,248,213,224
test.confidence_rating.50-100%,69,41,51,76,37,59
test.confidence_rating.100-200%,26,16,19,29,17,10
test.confidence_rating.>200.0%,15,6,6,15,8,4
test.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0
test.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0
test.confidence_rating_detailed.0.cnt,374,483,211,383,491,182
test.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0
test.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0
test.confidence_rating_detailed.1.cnt,226,264,135,246,212,148
test.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0
test.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0
test.confidence_rating_detailed.2.cnt,287,168,205,248,213,224
test.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0
test.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0
test.confidence_rating_detailed.3.cnt,69,41,51,76,37,59
test.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0
test.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0
test.confidence_rating_detailed.4.cnt,26,16,19,29,17,10
test.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0
test.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf
test.confidence_rating_detailed.5.cnt,15,6,6,15,8,4
train.evaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator,DefaultRegressorEvaluator
train.sMAPE,0.18824219427013456,0.14095222444587188,0.19594024503443797,0.2007409868607028,0.14519305417307238,0.21643229566848463
train.R2,0.4347389508976318,0.33942643768436376,0.34256266129189483,0.3798680057956928,0.2774427718731507,0.23644285195423376
train.MAE,1.471698830411381,1.1373308053855649,1.99566725189686,1.525550008949879,1.08839409536262,2.1659895505491322
train.RMSE,2.50775577766517,1.9999030669986937,2.942891321634648,2.6424945453864512,2.080324125018775,3.2127076697202237
train.MAPE,0.2579397480889826,0.18203451318847985,0.22505112013628686,0.36193516900063205,0.18954241822644344,0.25570052882638133
train.offset_percentile.50%,1.138681255623697,1.1010362281150023,1.1661159809502175,1.145440608938592,1.097771249864074,1.1854725157617374
train.offset_percentile.75%,1.2769161723509894,1.18900569169891,1.302145635825341,1.2842804279684208,1.2046971430748485,1.3469493441170677
train.offset_percentile.90%,1.5049876462716,1.3398028142790852,1.5114076099011682,1.5434971907949662,1.3515334548678417,1.5624452620706337
train.offset_percentile.95%,1.791194065614245,1.5212686001107112,1.6953360497672496,1.9139270046438999,1.5592988549316074,1.7762993310998008
train.confidence_rating.<10.0%,1511,1946,806,1438,1973,737
train.confidence_rating.10-20%,1052,1072,641,1050,921,579
train.confidence_rating.20-50%,1016,680,799,1048,784,867
train.confidence_rating.50-100%,256,130,203,278,141,248
train.confidence_rating.100-200%,101,42,50,108,52,55
train.confidence_rating.>200.0%,48,39,9,62,38,22
train.confidence_rating_detailed.0.left,0.0,0.0,0.0,0.0,0.0,0.0
train.confidence_rating_detailed.0.right,10.0,10.0,10.0,10.0,10.0,10.0
train.confidence_rating_detailed.0.cnt,1511,1946,806,1438,1973,737
train.confidence_rating_detailed.1.left,10.0,10.0,10.0,10.0,10.0,10.0
train.confidence_rating_detailed.1.right,20.0,20.0,20.0,20.0,20.0,20.0
train.confidence_rating_detailed.1.cnt,1052,1072,641,1050,921,579
train.confidence_rating_detailed.2.left,20.0,20.0,20.0,20.0,20.0,20.0
train.confidence_rating_detailed.2.right,50.0,50.0,50.0,50.0,50.0,50.0
train.confidence_rating_detailed.2.cnt,1016,680,799,1048,784,867
train.confidence_rating_detailed.3.left,50.0,50.0,50.0,50.0,50.0,50.0
train.confidence_rating_detailed.3.right,100.0,100.0,100.0,100.0,100.0,100.0
train.confidence_rating_detailed.3.cnt,256,130,203,278,141,248
train.confidence_rating_detailed.4.left,100.0,100.0,100.0,100.0,100.0,100.0
train.confidence_rating_detailed.4.right,200.0,200.0,200.0,200.0,200.0,200.0
train.confidence_rating_detailed.4.cnt,101,42,50,108,52,55
train.confidence_rating_detailed.5.left,200.0,200.0,200.0,200.0,200.0,200.0
train.confidence_rating_detailed.5.right,inf,inf,inf,inf,inf,inf
train.confidence_rating_detailed.5.cnt,48,39,9,62,38,22
optimal_params.epsilon,0.1560244760798696,0.11415796339123244,0.022890790239879517,0.01623447660886351,0.15532653494315224,0.1375840475530461
optimal_params.C,1.9862147141363926,1.8396972560355787,1.986828317068824,1.9930167538594243,1.9592102006365477,1.9810681659086755
cfg.preprocessor.fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer,PowerTransformer
cfg.preprocessor.cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder,TargetEncoder
cfg.preprocessor.imputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer,DummyImputer
cfg.preprocessor.copy,True,True,True,True,True,True
cfg.preprocessor.method,yeo-johnson,yeo-johnson,yeo-johnson,yeo-johnson,yeo-johnson,yeo-johnson
cfg.preprocessor.standardize,True,True,True,True,True,True
cfg.preprocessor.cols,"['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']","['ft_catm_country_code', 'ft_catm_exchange', 'ft_catm_industry_name', 'ft_catm_region', 'ft_catm_sector_name', 'ft_catm_sub_region']"
cfg.preprocessor.drop_invariant,False,False,False,False,False,False
cfg.preprocessor.handle_missing,value,value,value,value,value,value
cfg.preprocessor.handle_unknown,value,value,value,value,value,value
cfg.preprocessor.hierarchy,,,,,,
cfg.preprocessor.min_samples_leaf,20,20,20,20,20,20
cfg.preprocessor.return_df,True,True,True,True,True,True
cfg.preprocessor.smoothing,10,10,10,10,10,10
cfg.preprocessor.verbose,0,0,0,0,0,0
cfg.preprocessor.name,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
cfg.feature_selector.n_components_,138,138,138,18,18,18
cfg.feature_selector.name,DummyFeatureReducer,DummyFeatureReducer,DummyFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
cfg.scope_estimator.memory,,,,,,
cfg.scope_estimator.steps,"[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9862147141363926, epsilon=0.1560244760798696))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.8396972560355787, epsilon=0.11415796339123244))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.986828317068824, epsilon=0.022890790239879517))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9930167538594243, epsilon=0.01623447660886351))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9592102006365477, epsilon=0.15532653494315224))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.9810681659086755, epsilon=0.1375840475530461))]"
cfg.scope_estimator.verbose,False,False,False,False,False,False
cfg.scope_estimator.nystroem,Nystroem(),Nystroem(),Nystroem(),Nystroem(),Nystroem(),Nystroem()
cfg.scope_estimator.linearsvr,"LinearSVR(C=1.9862147141363926, epsilon=0.1560244760798696)","LinearSVR(C=1.8396972560355787, epsilon=0.11415796339123244)","LinearSVR(C=1.986828317068824, epsilon=0.022890790239879517)","LinearSVR(C=1.9930167538594243, epsilon=0.01623447660886351)","LinearSVR(C=1.9592102006365477, epsilon=0.15532653494315224)","LinearSVR(C=1.9810681659086755, epsilon=0.1375840475530461)"
cfg.scope_estimator.nystroem__coef0,,,,,,
cfg.scope_estimator.nystroem__degree,,,,,,
cfg.scope_estimator.nystroem__gamma,,,,,,
cfg.scope_estimator.nystroem__kernel,rbf,rbf,rbf,rbf,rbf,rbf
cfg.scope_estimator.nystroem__kernel_params,,,,,,
cfg.scope_estimator.nystroem__n_components,100,100,100,100,100,100
cfg.scope_estimator.nystroem__n_jobs,,,,,,
cfg.scope_estimator.nystroem__random_state,,,,,,
cfg.scope_estimator.linearsvr__C,1.9862147141363926,1.8396972560355787,1.986828317068824,1.9930167538594243,1.9592102006365477,1.9810681659086755
cfg.scope_estimator.linearsvr__dual,warn,warn,warn,warn,warn,warn
cfg.scope_estimator.linearsvr__epsilon,0.1560244760798696,0.11415796339123244,0.022890790239879517,0.01623447660886351,0.15532653494315224,0.1375840475530461
cfg.scope_estimator.linearsvr__fit_intercept,True,True,True,True,True,True
cfg.scope_estimator.linearsvr__intercept_scaling,1.0,1.0,1.0,1.0,1.0,1.0
cfg.scope_estimator.linearsvr__loss,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive
cfg.scope_estimator.linearsvr__max_iter,1000,1000,1000,1000,1000,1000
cfg.scope_estimator.linearsvr__random_state,,,,,,
cfg.scope_estimator.linearsvr__tol,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
cfg.scope_estimator.linearsvr__verbose,0,0,0,0,0,0
cfg.scope_estimator.name,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
cfg.scope_estimator.epsilon,0.1560244760798696,0.11415796339123244,0.022890790239879517,0.01623447660886351,0.15532653494315224,0.1375840475530461
cfg.scope_estimator.C,1.9862147141363926,1.8396972560355787,1.986828317068824,1.9930167538594243,1.9592102006365477,1.9810681659086755
cfg.name,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
cfg.epsilon,0.1560244760798696,0.11415796339123244,0.022890790239879517,0.01623447660886351,0.15532653494315224,0.1375840475530461
cfg.C,1.9862147141363926,1.8396972560355787,1.986828317068824,1.9930167538594243,1.9592102006365477,1.9810681659086755
